NGO_Name,state,Primary_SDG,Annual_Budget,Data_Assets,Infrastructure_Gap,Debt_Sensitivity,ZOPA_Flexibility
Bharat_Impact_NGO_0001,Rajasthan,SDG 13: Climate Action,2386016,Traditional Craft Knowledge,Tier-3 City Cloud Infrastructure,Low,0.72
Bharat_Impact_NGO_0002,West Bengal,SDG 13: Climate Action,3202906,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,High,0.58
Bharat_Impact_NGO_0003,Odisha,SDG 17: Partnerships,1007962,Rural Land Records,Agri-Tech Sensors,High,0.32
Bharat_Impact_NGO_0004,West Bengal,SDG 17: Partnerships,3913891,Localized Crop Yield Data,Smart Village Grids,Low,0.29
Bharat_Impact_NGO_0005,Gujarat,SDG 4: Quality Education,1601565,Rural Land Records,Vernacular AI Models,High,0.83
Bharat_Impact_NGO_0006,Kerala,SDG 13: Climate Action,2236965,Rural Land Records,Last-mile Fiber (BharatNet),Medium,0.38
Bharat_Impact_NGO_0007,Bihar,SDG 17: Partnerships,2921647,Traditional Craft Knowledge,Smart Village Grids,High,0.6
Bharat_Impact_NGO_0008,Tamil Nadu,SDG 13: Climate Action,4302545,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.73
Bharat_Impact_NGO_0009,Kerala,SDG 9: Industry & Innovation,2437821,Traditional Craft Knowledge,Agri-Tech Sensors,High,0.54
Bharat_Impact_NGO_0010,Tamil Nadu,SDG 17: Partnerships,775512,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.27
Bharat_Impact_NGO_0011,West Bengal,SDG 9: Industry & Innovation,1082744,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.49
Bharat_Impact_NGO_0012,Gujarat,SDG 17: Partnerships,3709443,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.84
Bharat_Impact_NGO_0013,Uttar Pradesh,SDG 9: Industry & Innovation,1791930,Localized Crop Yield Data,Agri-Tech Sensors,High,0.46
Bharat_Impact_NGO_0014,Tamil Nadu,SDG 4: Quality Education,1321437,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Medium,0.16
Bharat_Impact_NGO_0015,Kerala,SDG 9: Industry & Innovation,1381732,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.74
Bharat_Impact_NGO_0016,Uttar Pradesh,SDG 17: Partnerships,467529,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Low,0.16
Bharat_Impact_NGO_0017,Uttar Pradesh,SDG 4: Quality Education,3838400,Self-Help Group (SHG) Networks,Smart Village Grids,High,0.56
Bharat_Impact_NGO_0018,Uttar Pradesh,SDG 4: Quality Education,681484,Rural Land Records,Vernacular AI Models,High,0.65
Bharat_Impact_NGO_0019,Bihar,SDG 9: Industry & Innovation,3019912,Self-Help Group (SHG) Networks,Vernacular AI Models,Low,0.44
Bharat_Impact_NGO_0020,West Bengal,SDG 17: Partnerships,1000415,Rural Land Records,Vernacular AI Models,High,0.8
Bharat_Impact_NGO_0021,Kerala,SDG 17: Partnerships,172859,Traditional Craft Knowledge,Agri-Tech Sensors,Medium,0.7
Bharat_Impact_NGO_0022,Rajasthan,SDG 4: Quality Education,4956880,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.77
Bharat_Impact_NGO_0023,Kerala,SDG 17: Partnerships,1824336,Rural Land Records,Vernacular AI Models,High,0.42
Bharat_Impact_NGO_0024,Rajasthan,SDG 9: Industry & Innovation,1468642,Localized Crop Yield Data,Last-mile Fiber (BharatNet),Low,0.26
Bharat_Impact_NGO_0025,Karnataka,SDG 4: Quality Education,1158883,Traditional Craft Knowledge,Tier-3 City Cloud Infrastructure,High,0.8
Bharat_Impact_NGO_0026,Odisha,SDG 17: Partnerships,4837685,Traditional Craft Knowledge,Tier-3 City Cloud Infrastructure,Medium,0.86
Bharat_Impact_NGO_0027,Karnataka,SDG 17: Partnerships,2710931,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.3
Bharat_Impact_NGO_0028,Gujarat,SDG 17: Partnerships,1423493,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.85
Bharat_Impact_NGO_0029,Odisha,SDG 13: Climate Action,4545139,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),High,0.59
Bharat_Impact_NGO_0030,Kerala,SDG 4: Quality Education,3980310,Rural Land Records,Vernacular AI Models,Low,0.56
Bharat_Impact_NGO_0031,Uttar Pradesh,SDG 9: Industry & Innovation,2015062,Localized Crop Yield Data,Agri-Tech Sensors,Low,0.18
Bharat_Impact_NGO_0032,Bihar,SDG 9: Industry & Innovation,4794609,Rural Land Records,Vernacular AI Models,Low,0.55
Bharat_Impact_NGO_0033,Kerala,SDG 13: Climate Action,4686962,Vernacular Language Datasets,Vernacular AI Models,High,0.38
Bharat_Impact_NGO_0034,Uttar Pradesh,SDG 17: Partnerships,1803335,Localized Crop Yield Data,Smart Village Grids,Medium,0.1
Bharat_Impact_NGO_0035,Odisha,SDG 4: Quality Education,2426237,Rural Land Records,Smart Village Grids,Low,0.16
Bharat_Impact_NGO_0036,Kerala,SDG 13: Climate Action,667043,Rural Land Records,Tier-3 City Cloud Infrastructure,Low,0.66
Bharat_Impact_NGO_0037,Uttar Pradesh,SDG 4: Quality Education,4920533,Traditional Craft Knowledge,Agri-Tech Sensors,Medium,0.4
Bharat_Impact_NGO_0038,Rajasthan,SDG 4: Quality Education,4110924,Localized Crop Yield Data,Smart Village Grids,High,0.71
Bharat_Impact_NGO_0039,Bihar,SDG 9: Industry & Innovation,1734545,Self-Help Group (SHG) Networks,Smart Village Grids,Low,0.34
Bharat_Impact_NGO_0040,Kerala,SDG 4: Quality Education,2515679,Rural Land Records,Agri-Tech Sensors,High,0.46
Bharat_Impact_NGO_0041,Uttar Pradesh,SDG 4: Quality Education,4884937,Traditional Craft Knowledge,Agri-Tech Sensors,Medium,0.19
Bharat_Impact_NGO_0042,Uttar Pradesh,SDG 17: Partnerships,3935633,Rural Land Records,Smart Village Grids,Medium,0.58
Bharat_Impact_NGO_0043,Karnataka,SDG 4: Quality Education,376989,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Medium,0.52
Bharat_Impact_NGO_0044,Uttar Pradesh,SDG 13: Climate Action,1882157,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Low,0.13
Bharat_Impact_NGO_0045,Uttar Pradesh,SDG 9: Industry & Innovation,3623214,Localized Crop Yield Data,Agri-Tech Sensors,High,0.59
Bharat_Impact_NGO_0046,Gujarat,SDG 9: Industry & Innovation,1688344,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Low,0.77
Bharat_Impact_NGO_0047,Uttar Pradesh,SDG 9: Industry & Innovation,4294753,Vernacular Language Datasets,Smart Village Grids,Low,0.37
Bharat_Impact_NGO_0048,Maharashtra,SDG 13: Climate Action,4509489,Vernacular Language Datasets,Smart Village Grids,Medium,0.79
Bharat_Impact_NGO_0049,Karnataka,SDG 4: Quality Education,95611,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Medium,0.3
Bharat_Impact_NGO_0050,Uttar Pradesh,SDG 9: Industry & Innovation,4162917,Rural Land Records,Last-mile Fiber (BharatNet),High,0.68
Bharat_Impact_NGO_0051,Kerala,SDG 17: Partnerships,2099416,Rural Land Records,Last-mile Fiber (BharatNet),High,0.27
Bharat_Impact_NGO_0052,Karnataka,SDG 9: Industry & Innovation,4734751,Rural Land Records,Agri-Tech Sensors,High,0.12
Bharat_Impact_NGO_0053,Odisha,SDG 4: Quality Education,4026160,Traditional Craft Knowledge,Smart Village Grids,High,0.81
Bharat_Impact_NGO_0054,Karnataka,SDG 9: Industry & Innovation,808972,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Low,0.36
Bharat_Impact_NGO_0055,Maharashtra,SDG 9: Industry & Innovation,2594998,Rural Land Records,Smart Village Grids,Low,0.81
Bharat_Impact_NGO_0056,Bihar,SDG 9: Industry & Innovation,1776648,Localized Crop Yield Data,Vernacular AI Models,High,0.29
Bharat_Impact_NGO_0057,Uttar Pradesh,SDG 13: Climate Action,1359730,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.45
Bharat_Impact_NGO_0058,Maharashtra,SDG 13: Climate Action,3579008,Rural Land Records,Vernacular AI Models,Medium,0.19
Bharat_Impact_NGO_0059,Maharashtra,SDG 9: Industry & Innovation,4918655,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Low,0.53
